team,team_id,player_name,position,dob,nationality
Spain,760,Pedri,Midfield,2002-11-25,Spain
Spain,760,Pablo Gavira,Midfield,2004-08-05,Spain
Spain,760,Mikel Oyarzabal,Midfield,1997-04-21,Spain
Spain,760,Álex Baena,Midfield,2001-07-20,Spain
Spain,760,Borja Iglesias,Offence,1993-01-17,Spain
Spain,760,Yeremi Pino,Offence,2002-10-20,Spain
Spain,760,Nico Williams,Offence,2002-07-12,Spain
Spain,760,Lamine Yamal,Offence,2007-07-13,Spain
Spain,760,Víctor Muñoz,Offence,2003-07-13,Spain
Paraguay,761,Gastón Olveira,Goalkeeper,1993-04-21,Paraguay
Paraguay,761,Roberto Fernández,Goalkeeper,1988-03-29,Paraguay
Paraguay,761,Orlando Gill,Goalkeeper,2000-06-11,Paraguay
Paraguay,761,Fabián Balbuena,Defence,1991-08-23,Paraguay
Paraguay,761,Gustavo Gómez,Defence,1993-05-06,Paraguay
Paraguay,761,Júnior Alonso,Defence,1993-02-09,Paraguay
Paraguay,761,Omar Alderete,Defence,1996-12-26,Paraguay
Paraguay,761,Juan Cáceres,Defence,2000-06-01,Paraguay
Paraguay,761,Gustavo Velázquez,Defence,1991-04-17,Paraguay
Paraguay,761,José Canale,Defence,1996-07-20,Paraguay
Paraguay,761,Alexandro Maidana,Defence,2005-07-26,Paraguay
Paraguay,761,Andrés Cubas,Midfield,1996-05-11,Paraguay
Paraguay,761,Kaku,Midfield,1995-01-11,Paraguay
Paraguay,761,Miguel Almirón,Midfield,1994-02-10,Paraguay
Paraguay,761,Mauricio,Midfield,2001-06-22,Paraguay
Paraguay,761,Braian Ojeda,Midfield,2000-06-27,Paraguay
Paraguay,761,Matías Galarza,Midfield,2002-02-11,Paraguay
Paraguay,761,Damian Bobadilla,Midfield,2001-07-11,Paraguay
Paraguay,761,Diego Gómez,Midfield,2003-03-27,Paraguay
Paraguay,761,Antonio Sanabria,Offence,1996-03-04,Paraguay
Paraguay,761,Gabriel Ávalos,Offence,1990-10-12,Paraguay
Paraguay,761,Isidro Pitta,Offence,1999-08-14,Paraguay
Paraguay,761,Ramón Sosa,Offence,1999-08-31,Paraguay
Paraguay,761,Julio Enciso,Offence,2004-01-23,Paraguay
Paraguay,761,Gustavo Caballero,Offence,2001-09-21,Paraguay
Paraguay,761,Alex Arce,Offence,1995-06-16,Paraguay
Argentina,762,Géronimo Rulli,Goalkeeper,1992-05-20,Argentina
Argentina,762,Emiliano Martínez,Goalkeeper,1992-09-02,Argentina
Argentina,762,Juan Musso,Goalkeeper,1994-05-06,Argentina
Argentina,762,Nicolás Otamendi,Defence,1988-02-12,Argentina
Argentina,762,Nicolás Tagliafico,Defence,1992-08-31,Argentina
Argentina,762,Gonzalo Montiel,Defence,1997-01-01,Argentina
Argentina,762,Christian Romero,Defence,1998-04-27,Argentina
Argentina,762,Facundo Medina,Defence,1999-05-28,Argentina
Argentina,762,Lisandro Martínez,Defence,1998-01-18,Argentina
Argentina,762,Nahuel Molina,Defence,1998-04-06,Argentina
Argentina,762,Leonardo Balerdi,Defence,1999-01-26,Argentina
Argentina,762,Valentin Barco,Defence,2004-07-23,Argentina
Argentina,762,Rodrigo de Paul,Midfield,1994-05-24,Argentina
Argentina,762,Leandro Paredes,Midfield,1994-06-29,Argentina
Argentina,762,Giovani Lo Celso,Midfield,1996-04-09,Argentina
Argentina,762,Exequiel Palacios,Midfield,1998-10-05,Argentina
Argentina,762,Alexis Mac Allister,Midfield,1998-12-24,Argentina
Argentina,762,Thiago Almada,Midfield,2001-04-26,Argentina
Argentina,762,Enzo Fernández,Midfield,2001-01-17,Argentina
Argentina,762,Nico Paz,Midfield,2004-09-08,Argentina
Argentina,762,Lionel Messi,Offence,1987-06-24,Argentina
Argentina,762,Lautaro Martínez,Offence,1997-08-22,Argentina
Argentina,762,Nicolás González,Offence,1998-04-06,Argentina
Argentina,762,Julián Álvarez,Offence,2000-01-31,Argentina
Argentina,762,José Manuel López,Offence,2000-12-06,Argentina
Argentina,762,Giuliano Simeone,Offence,2002-12-18,Argentina
Ghana,763,Lawrence Ati-Zigi,Goalkeeper,1996-11-29,Ghana
Ghana,763,Joseph Anang,Goalkeeper,2000-06-08,Ghana
Ghana,763,Benjamin Asare,Goalkeeper,1992-07-13,Ghana
Ghana,763,Abdul Rahman Baba,Defence,1994-07-02,Ghana
Ghana,763,Derrick Luckassen,Defence,1995-07-03,Ghana
Ghana,763,Gideon Mensah,Defence,1998-07-18,Ghana
Ghana,763,Abdul Mumin,Defence,1998-06-06,Ghana
Ghana,763,Jerome Opoku,Defence,1998-10-14,Ghana
Ghana,763,Alidu Seidu,Defence,2000-06-04,Ghana
Ghana,763,Marvin Senaya,Defence,2001-01-28,Ghana
Ghana,763,Jonas Adjei Adjetey,Defence,2003-12-13,Ghana
Ghana,763,Kojo Peprah Oppong,Defence,2004-06-04,Ghana
Ghana,763,Thomas Partey,Midfield,1993-06-13,Ghana
Ghana,763,Elisha Owusu,Midfield,1997-11-07,Ghana
Ghana,763,Kwasi Sibo,Midfield,1998-06-24,Ghana
Ghana,763,Augustine Boakye,Midfield,2000-11-03,Ghana
Ghana,763,Caleb Yirenkyi,Midfield,2006-01-15,Ghana
Ghana,763,Antoine Semenyo,Offence,2000-01-07,Ghana
Ghana,763,Brandon Thomas-Asante,Offence,1998-12-29,Ghana
Ghana,763,Jordan Ayew,Offence,1991-09-11,Ghana
Ghana,763,Iñaki Williams,Offence,1994-06-15,Ghana
Ghana,763,Kamal Deen Sulemana,Offence,2002-02-15,Ghana
Ghana,763,Ernest Nuamah,Offence,2003-11-01,Ghana
Ghana,763,Abdul Issahaku,Offence,2004-03-08,Ghana
Ghana,763,Christopher Bonsu Baah,Offence,2004-12-14,Ghana
Ghana,763,Prince Adu,Offence,2003-09-23,Ghana
Brazil,764,Weverton,Goalkeeper,1987-12-13,Brazil
Brazil,764,Alisson Becker,Goalkeeper,1992-10-02,Brazil
Brazil,764,Ederson,Goalkeeper,1993-08-17,Brazil
Brazil,764,Roger Ibañez,Defence,1998-11-23,Brazil
Brazil,764,Bremer,Defence,1997-03-18,Brazil
Brazil,764,Alex Sandro,Defence,1991-01-26,Brazil
Brazil,764,Marquinhos,Defence,1994-05-14,Brazil
Brazil,764,Douglas Santos,Defence,1994-03-22,Brazil
Brazil,764,Danilo Luiz da Silva,Defence,1991-07-15,Brazil
Brazil,764,Léo Pereira,Defence,1996-01-31,Brazil
Brazil,764,Gabriel Magalhães,Defence,1997-12-19,Brazil
Brazil,764,Wesley,Defence,2003-09-06,Brazil
Brazil,764,Lucas Paquetá,Midfield,1997-08-27,Brazil
Brazil,764,Bruno Guimarães,Midfield,1997-11-16,Brazil
Brazil,764,Casemiro,Midfield,1992-02-23,Brazil
Brazil,764,Fabinho,Midfield,1993-10-23,Brazil
Brazil,764,Danilo dos Santos de Oliveira,Midfield,2001-04-29,Brazil
Brazil,764,Vinicius Junior,Offence,2000-07-12,Brazil
Brazil,764,Neymar,Offence,1992-02-05,Brazil
Brazil,764,Matheus Cunha,Offence,1999-05-27,Brazil
Brazil,764,Raphinha,Offence,1996-12-14,Brazil
Brazil,764,Martinelli,Offence,2001-06-18,Brazil
Brazil,764,Thiago,Offence,2001-06-26,Brazil
Brazil,764,Luiz Henrique,Offence,2001-01-02,Brazil
Brazil,764,Endrick,Offence,2006-07-21,Brazil
Brazil,764,Rayan,Offence,2006-08-03,Brazil
Portugal,765,José Sá,Goalkeeper,1993-01-17,Portugal
Portugal,765,Rui Silva,Goalkeeper,1994-02-07,Portugal
Portugal,765,Diogo Costa,Goalkeeper,1999-09-19,Portugal
Portugal,765,João Cancelo,Defence,1994-05-27,Portugal
Portugal,765,Rúben Dias,Defence,1997-05-14,Portugal
Portugal,765,Nélson Semedo,Defence,1993-11-16,Portugal
Portugal,765,Diogo Dalot,Defence,1999-03-18,Portugal
Portugal,765,Matheus Nunes,Defence,1998-08-27,Portugal
Portugal,765,Nuno Mendes,Defence,2002-06-19,Portugal
Portugal,765,Gonçalo Inácio,Defence,2001-08-25,Portugal
Portugal,765,Tomas Araujo,Defence,2002-05-16,Portugal
Portugal,765,Renato Veiga,Defence,2003-07-29,Portugal
Portugal,765,Bernardo Silva,Midfield,1994-08-10,Portugal
Portugal,765,Rúben Neves,Midfield,1997-03-13,Portugal
Portugal,765,Bruno Fernandes,Midfield,1994-09-08,Portugal
Portugal,765,Gonçalo Guedes,Midfield,1996-11-29,Portugal
Portugal,765,Samuel Almeida Costa,Midfield,2000-11-27,Portugal
Portugal,765,Vitinha,Midfield,2000-02-13,Portugal
Portugal,765,Joao Neves,Midfield,2004-09-27,Portugal
Portugal,765,Cristiano Ronaldo,Offence,1985-02-05,Portugal
Portugal,765,Pedro Neto,Offence,2000-03-09,Portugal
Portugal,765,Rafael Leão,Offence,1999-06-10,Portugal
Portugal,765,Trincão,Offence,1999-12-29,Portugal
Portugal,765,João Félix,Offence,1999-11-10,Portugal
Portugal,765,Gonçalo Ramos,Offence,2001-06-20,Portugal
Portugal,765,Francisco Conceição,Offence,2002-12-14,Portugal
Japan,766,Keisuke Ōsako,Goalkeeper,1999-07-28,Japan
Japan,766,Zion Suzuki,Goalkeeper,2002-08-21,Japan
Japan,766,Tomoki Hayakawa,Goalkeeper,1999-03-03,Japan
Japan,766,Yūto Nagatomo,Defence,1986-09-12,Japan
Japan,766,Takehiro Tomiyasu,Defence,1998-11-05,Japan
Japan,766,Hiroki Ito,Defence,1999-05-12,Japan
Japan,766,Yukinari Sugawara,Defence,2000-06-28,Japan
Japan,766,Ko Itakura,Defence,1997-01-27,Japan
Japan,766,Shogo Taniguchi,Defence,1991-07-15,Japan
Japan,766,Ayumu Seko,Defence,2000-06-07,Japan
Japan,766,Tsuyoshi Watanabe,Defence,1997-02-05,Japan
Japan,766,Junnosuke Suzuki,Defence,2003-07-12,Japan
Japan,766,Wataru Endō,Midfield,1993-02-09,Japan
Japan,766,Daichi Kamada,Midfield,1996-08-05,Japan
Japan,766,Takefusa Kubo,Midfield,2001-06-04,Japan
Japan,766,Keito Nakamura,Midfield,2000-07-28,Japan
Japan,766,Ao Tanaka,Midfield,1998-09-10,Japan
Japan,766,Kaishu Sano,Midfield,2000-12-30,Japan
Japan,766,Yuito Suzuki,Midfield,2001-10-25,Japan
Japan,766,Ritsu Doan,Offence,1998-06-16,Japan
Japan,766,Daizen Maeda,Offence,1997-10-20,Japan
Japan,766,Koki Ogawa,Offence,1997-08-08,Japan
Japan,766,Junya Ito,Offence,1993-03-09,Japan
Japan,766,Ayase Ueda,Offence,1998-08-28,Japan
Japan,766,Kento Shiogai,Offence,2005-03-26,Japan
Japan,766,Keisuke Goto,Offence,2005-06-03,Japan
Mexico,769,Guillermo Ochoa,Goalkeeper,1985-07-13,Mexico
Mexico,769,Carlos Acevedo,Goalkeeper,1996-04-19,Mexico
Mexico,769,José Rangel,Goalkeeper,2000-02-25,Mexico
Mexico,769,Jesús Gallardo,Defence,1994-08-15,Mexico
Mexico,769,César Montes,Defence,1997-02-24,Mexico
Mexico,769,Johan Vásquez,Defence,1998-10-22,Mexico
Mexico,769,Jorge Sánchez,Defence,1997-12-10,Mexico
Mexico,769,Israel Reyes,Defence,2000-05-23,Mexico
Mexico,769,Mateo Chávez,Defence,2004-05-12,Mexico
Mexico,769,Edson Álvarez,Midfield,1997-10-24,Mexico
Mexico,769,Orbelín Pineda,Midfield,1996-03-24,Mexico
Mexico,769,Luis Chávez,Midfield,1996-01-15,Mexico
Mexico,769,Luis Romo,Midfield,1995-06-05,Mexico
Mexico,769,Erik Lira,Midfield,2000-05-08,Mexico
Mexico,769,Álvaro Fidalgo,Midfield,1997-04-09,Spain
Mexico,769,Brian Gutiérrez,Midfield,2003-06-17,Mexico
Mexico,769,Obed Vargas,Midfield,2005-08-05,Mexico
Mexico,769,Gilberto Mora,Midfield,2008-10-14,Mexico
Mexico,769,Raúl Jiménez,Offence,1991-05-05,Mexico
Mexico,769,Julián Quiñones,Offence,1997-03-24,Colombia
Mexico,769,Roberto Alvarado,Offence,1998-09-07,Mexico
Mexico,769,Santiago Giménez,Offence,2001-04-18,Mexico
Mexico,769,Alexis Vega,Offence,1997-11-25,Mexico
Mexico,769,Guillermo Martínez,Offence,1995-03-15,Mexico
Mexico,769,César Huerta,Offence,2000-12-03,Mexico
Mexico,769,Armando González,Offence,2003-04-20,Mexico
England,770,Jordan Pickford,Goalkeeper,1994-03-07,England
England,770,Dean Henderson,Goalkeeper,1997-03-12,England
England,770,James Trafford,Goalkeeper,2002-10-10,England
England,770,John Stones,Defence,1994-05-28,England
England,770,Dan Burn,Defence,1992-05-09,England
England,770,Ezri Konsa,Defence,1997-10-23,England
England,770,Reece James,Defence,1999-12-08,England
England,770,Djed Spence,Defence,2000-08-09,England
England,770,Marc Guéhi,Defence,2000-07-13,England
England,770,Valentino Livramento,Defence,2002-11-12,England
England,770,Jarell Quansah,Defence,2003-01-29,England
England,770,Nico O'Reilly,Defence,2005-03-21,England
England,770,Jordan Henderson,Midfield,1990-06-17,England
England,770,Eberechi Eze,Midfield,1998-06-29,England
England,770,Anthony Gordon,Midfield,2001-02-24,England
England,770,Declan Rice,Midfield,1999-01-14,England
England,770,Morgan Rogers,Midfield,2002-07-26,England
England,770,Elliot Anderson,Midfield,2002-11-06,England
England,770,Jude Bellingham,Midfield,2003-06-29,England
England,770,Kobbie Mainoo,Midfield,2005-04-19,England
England,770,Marcus Rashford,Offence,1997-10-31,England
England,770,Ollie Watkins,Offence,1995-12-30,England
England,770,Ivan Toney,Offence,1996-03-16,England
England,770,Harry Kane,Offence,1993-07-28,England
England,770,Bukayo Saka,Offence,2001-09-05,England
England,770,Noni Madueke,Offence,2002-03-10,England
United States,771,Matt Turner,Goalkeeper,1994-06-24,USA
United States,771,Matt Freese,Goalkeeper,1998-09-02,USA
United States,771,Chris Brady,Goalkeeper,2004-03-03,USA
United States,771,Antonee Robinson,Defence,1997-08-08,USA
United States,771,Tim Ream,Defence,1987-10-05,USA
United States,771,Miles Robinson,Defence,1997-03-14,USA
United States,771,Auston Trusty,Defence,1998-08-12,USA
United States,771,Mark McKenzie,Defence,1999-02-25,USA
United States,771,Joseph Scally,Defence,2002-12-31,USA
United States,771,Sergiño Dest,Defence,2000-11-03,USA
United States,771,Chris Richards,Defence,2000-03-28,USA
United States,771,Alex Freeman,Defence,2004-08-09,USA
United States,771,Weston McKennie,Midfield,1998-08-28,USA
United States,771,Alejandro Zendejas,Midfield,1998-02-07,USA
United States,771,Cristian Roldan,Midfield,1995-06-03,USA
United States,771,Tyler Adams,Midfield,1999-02-14,USA
United States,771,Brenden Aaronson,Midfield,2000-10-22,USA
United States,771,Gio Reyna,Midfield,2002-11-13,USA
United States,771,Sebastian Berhalter,Midfield,2001-05-17,USA
United States,771,Malik Tillman,Midfield,2002-05-28,USA
United States,771,Christian Pulisic,Offence,1998-09-18,USA
United States,771,Tim Weah,Offence,2000-02-22,USA
United States,771,Haji Wright,Offence,1998-03-27,USA
United States,771,Ricardo Pepi,Offence,2003-01-09,USA
United States,771,Folarin Balogun,Offence,2001-07-03,USA
United States,771,Max Arfsten,Offence,2001-04-19,USA
South Korea,772,Seung-Gyu Kim,Goalkeeper,1990-09-30,South Korea
South Korea,772,Bum-keun Song,Goalkeeper,1997-10-15,South Korea
South Korea,772,Hyeon-woo Jo,Goalkeeper,1991-09-25,South Korea
South Korea,772,Min-Jae Kim,Defence,1996-11-15,South Korea
South Korea,772,Moon-hwan Kim,Defence,1995-08-01,South Korea
South Korea,772,Han-bum Lee,Defence,2002-06-17,South Korea
South Korea,772,Young-woo Seol,Defence,1998-12-05,South Korea
South Korea,772,Jin-seob Park,Defence,1995-10-23,South Korea
South Korea,772,Tae-hyeon Kim,Defence,2000-09-17,South Korea
South Korea,772,Gi-hyuk Lee,Defence,2000-07-07,South Korea
South Korea,772,Tae-seok Lee,Defence,2002-07-28,South Korea
South Korea,772,Cho Wi-Je,Defence,2001-08-25,South Korea
South Korea,772,Jens Castrop,Midfield,2003-07-29,South Korea
South Korea,772,In-beom Hwang,Midfield,1996-09-20,South Korea
South Korea,772,Dong-gyeong Lee,Midfield,1997-09-20,South Korea
South Korea,772,Jae-sung Lee,Midfield,1992-08-10,South Korea
South Korea,772,Jin-Gyu Kim,Midfield,1997-02-24,South Korea
South Korea,772,Seung-Ho Paik,Midfield,1997-03-17,South Korea
South Korea,772,Kang-in Lee,Midfield,2001-02-19,South Korea
South Korea,772,Joon-ho Bae,Midfield,2003-08-21,South Korea
South Korea,772,Hwang Heechan,Offence,1996-01-26,South Korea
South Korea,772,Heung-min Son,Offence,1992-07-08,South Korea
South Korea,772,Hyun-jun Yang,Offence,2002-05-25,South Korea
South Korea,772,Gue-Sung Cho,Offence,1998-01-25,South Korea
South Korea,772,Hyun-Gyu Oh,Offence,2001-04-12,South Korea
South Korea,772,Ji-sung Eom,Offence,2002-05-09,South Korea
France,773,Brice Samba,Goalkeeper,1994-04-25,France
France,773,Mike Maignan,Goalkeeper,1995-07-03,France
France,773,Robin Risser,Goalkeeper,2004-12-02,France
France,773,Theo Hernández,Defence,1997-10-06,France
France,773,Lucas Digne,Defence,1993-07-20,France
France,773,Lucas Hernández,Defence,1996-02-14,France
France,773,Jules Koundé,Defence,1998-11-12,France
France,773,Dayot Upamecano,Defence,1998-10-27,France
France,773,Ibrahima Konaté,Defence,1999-05-25,France
France,773,William Saliba,Defence,2001-03-24,France
France,773,Maxence Lacroix,Defence,2000-04-06,France
France,773,Malo Gusto,Defence,2003-05-19,France
France,773,N'Golo Kanté,Midfield,1991-03-29,France
France,773,Adrien Rabiot,Midfield,1995-04-03,France
France,773,Aurélien Tchouameni,Midfield,2000-01-27,France
France,773,Manu Koné,Midfield,2001-05-17,France
France,773,Rayan Cherki,Midfield,2003-08-17,France
France,773,Maghnes Akliouche,Midfield,2002-02-25,France
France,773,Desire Doue,Midfield,2005-06-03,France
France,773,Warren Zaïre-Emery,Midfield,2006-03-08,France
France,773,Jean-Philippe Mateta,Offence,1997-06-28,France
France,773,Ousmane Dembélé,Offence,1997-05-15,France
France,773,Kylian Mbappé,Offence,1998-12-20,France
France,773,Marcus Thuram-Ulien,Offence,1997-08-06,France
France,773,Michael Olise,Offence,2001-12-12,France
France,773,Bradley Barcola,Offence,2002-09-02,France
South Africa,774,Ronwen Williams,Goalkeeper,1992-01-21,South Africa
South Africa,774,Sipho Chaine,Goalkeeper,1996-12-14,South Africa
South Africa,774,Ricardo Goss,Goalkeeper,1994-04-02,South Africa
South Africa,774,Aubrey Modiba,Defence,1995-07-22,South Africa
South Africa,774,Nkosinathi Sibisi,Defence,1995-09-22,South Africa
South Africa,774,Khuliso Mudau,Defence,1995-04-26,South Africa
South Africa,774,Olwethu Makhanya,Defence,2004-04-30,South Africa
South Africa,774,Bradley Cross,Defence,2001-01-30,South Africa
South Africa,774,Samukelo Kabini,Defence,2004-03-15,South Africa
South Africa,774,Ime Okon,Defence,2004-02-20,South Africa
South Africa,774,Mbekezeli Mbokazi,Defence,2005-09-19,South Africa
South Africa,774,Khulumani Ndamane,Defence,2004-02-05,South Africa
South Africa,774,Tholo Matuludi,Defence,1999-01-14,South Africa
South Africa,774,Themba Zwane,Midfield,1989-08-03,South Africa
South Africa,774,Teboho Mokoena,Midfield,1997-01-24,South Africa
South Africa,774,Sphephelo Sithole,Midfield,1999-03-03,South Africa
South Africa,774,Jayden Adams,Midfield,2001-05-05,South Africa
South Africa,774,Thapelo Maseko,Midfield,2003-11-11,South Africa
South Africa,774,Thalente Mbatha,Midfield,2000-03-06,South Africa
South Africa,774,Kamogelo Sebelebele,Midfield,2002-07-21,South Africa
South Africa,774,Lyle Foster,Offence,2000-09-04,South Africa
South Africa,774,Oswin Appollis,Offence,2001-08-25,South Africa
South Africa,774,Iqraam Rayners,Offence,1995-12-19,South Africa
South Africa,774,Evidence Makgopa,Offence,2000-06-05,South Africa
South Africa,774,Relebohile Mofokeng,Offence,2004-10-23,South Africa
South Africa,774,Tshepang Moremi,Offence,2000-10-02,South Africa
Algeria,778,Luca Zidane,Goalkeeper,1998-05-13,Algeria
Algeria,778,Oussama Benbout,Goalkeeper,1994-10-11,Algeria
Algeria,778,Melvin Mastil,Goalkeeper,2000-02-19,France
Algeria,778,Aïssa Mandi,Defence,1991-10-22,Algeria
Algeria,778,Rayan Aït Nouri,Defence,2001-06-06,Algeria
Algeria,778,Ramy Bensebaini,Defence,1995-04-16,Algeria
Algeria,778,Samir Chergui,Defence,1999-02-06,Algeria
Algeria,778,Jaouen Hadjam,Defence,2003-03-26,Algeria
Algeria,778,Rafik Belghali,Defence,2002-06-07,Algeria
Algeria,778,Zinédine Belaïd,Defence,1999-03-20,Algeria
Algeria,778,Amine Tougai,Defence,2000-01-22,Algeria
Algeria,778,Achref Abada,Defence,1999-06-15,Algeria
Algeria,778,Nabil Bentaleb,Midfield,1994-11-24,Algeria
Algeria,778,Houssem Aouar,Midfield,1998-06-30,Algeria
Algeria,778,Hicham Boudaoui,Midfield,1999-09-23,Algeria
Algeria,778,Ramiz Zerrouki,Midfield,1998-05-26,Algeria
Algeria,778,Fares Chaïbi,Midfield,2002-11-28,Algeria
Algeria,778,Ibrahim Maza,Midfield,2005-11-24,Algeria
Algeria,778,Yacine Titraoui,Midfield,2003-07-26,Algeria
Algeria,778,Adil Boulbina,Midfield,2003-05-02,Algeria
Algeria,778,Riyad Mahrez,Offence,1991-02-21,Algeria
Algeria,778,Amine Gouiri,Offence,2000-02-16,Algeria
Algeria,778,Mohammed Amoura,Offence,2000-05-09,Algeria
Algeria,778,Nadhir Benbouali,Offence,2000-04-17,Algeria
Algeria,778,Anis Moussa,Offence,2002-02-11,Algeria
Algeria,778,Farés Ghedjemis,Offence,2002-09-06,Algeria
Australia,779,Maty Ryan,Goalkeeper,1992-04-08,Australia
Australia,779,Paul Izzo,Goalkeeper,1995-01-06,Australia
Australia,779,Patrick Beach,Goalkeeper,2003-08-06,Australia
Australia,779,Aziz Behich,Defence,1990-12-16,Australia
Australia,779,Miloš Degenek,Defence,1994-04-28,Australia
Australia,779,Kai Trewin,Defence,2001-05-18,Australia
Australia,779,Jacob Italiano,Defence,2001-07-30,Australia
Australia,779,Cameron Burgess,Defence,1995-10-21,Australia
Australia,779,Harry Souttar,Defence,1998-10-22,Australia
Australia,779,Jason Geria,Defence,1993-05-10,Australia
Australia,779,Jordan Bos,Defence,2002-10-29,Australia
Australia,779,Alessandro Circati,Defence,2003-10-10,Australia
Australia,779,Lucas Herrington,Defence,2007-09-05,Australia
Australia,779,Mathew Leckie,Midfield,1991-02-04,Australia
Australia,779,Jackson Irvine,Midfield,1993-03-07,Australia
Australia,779,Connor Metcalfe,Midfield,1999-11-05,Australia
Australia,779,Ajdin Hrustic,Midfield,1996-07-05,Australia
Australia,779,Aiden O'Neill,Midfield,1998-07-04,Australia
Australia,779,Awer Mabil,Midfield,1995-09-15,Australia
Australia,779,Cameron Devlin,Midfield,1998-06-07,Australia
Australia,779,Paul Okon-Engstler,Midfield,2005-01-24,Australia
Australia,779,Mohamed Toure,Offence,2004-03-26,Australia
Australia,779,Nishan Velupillay,Offence,2001-05-07,Australia
Australia,779,Cristian Volpato,Offence,2003-11-15,Italy
